Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,datetime,pollution_score,current_aqi_category,target_aqi_category,hour,day,month,weekday,is_weekend,hour_sin,hour_cos,month_sin,month_cos,temp_humidity_interaction,lag1_CO(GT),lag1_NMHC(GT),lag1_C6H6(GT),lag1_NOx(GT),lag1_NO2(GT),lag1_T,lag1_RH,lag1_AH
12/03/2004,14.00.00,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,2004-03-12 14:00:00,0.5578025583489785,Very Poor,Very Poor,14,12,3,4,0,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,581.9100000000001,2.5,140.0,11.0,160.0,116.0,16.1,34.5,0.6262
12/03/2004,15.00.00,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,2004-03-12 15:00:00,0.6126960215850482,Very Poor,Very Poor,15,12,3,4,0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,584.6,2.7,169.0,12.8,163.0,123.0,16.3,35.7,0.656
12/03/2004,16.00.00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,2004-03-12 16:00:00,0.5684500598911039,Very Poor,Very Poor,16,12,3,4,0,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,591.48,2.9,185.0,14.2,190.0,126.0,15.8,37.0,0.661
12/03/2004,17.00.00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,2004-03-12 17:00:00,0.5193395049744007,Very Poor,Severe,17,12,3,4,0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,579.67,2.8,165.0,12.7,178.0,120.0,15.9,37.2,0.6657
12/03/2004,18.00.00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,2004-03-12 18:00:00,0.7597580211251784,Severe,Severe,18,12,3,4,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,597.96,2.4,133.0,11.7,150.0,119.0,16.9,34.3,0.6549
12/03/2004,19.00.00,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,2004-03-12 19:00:00,0.7410622293440545,Severe,Severe,19,12,3,4,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,624.96,3.9,233.0,19.3,206.0,149.0,15.1,39.6,0.6766
12/03/2004,20.00.00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,2004-03-12 20:00:00,0.858757144235444,Severe,Severe,20,12,3,4,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,651.45,3.7,242.0,18.2,202.0,145.0,14.4,43.4,0.7084
12/03/2004,21.00.00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,2004-03-12 21:00:00,0.8150305699758202,Severe,Very Poor,21,12,3,4,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,644.93,6.6,488.0,32.6,340.0,170.0,12.9,50.5,0.7478
12/03/2004,22.00.00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,2004-03-12 22:00:00,0.6894658787132786,Very Poor,Severe,22,12,3,4,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,650.1,4.4,333.0,20.1,274.0,149.0,12.1,53.3,0.7536
12/03/2004,23.00.00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,2004-03-12 23:00:00,0.8153465466577485,Severe,Very Poor,23,12,3,4,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,626.6199999999999,3.5,215.0,14.3,253.0,139.0,11.0,59.1,0.774
13/03/2004,00.00.00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,2004-03-13 00:00:00,0.5212401266265232,Very Poor,Poor,0,13,3,5,1,0.0,1.0,1.0,6.123233995736766e-17,608.9499999999999,5.4,367.0,21.8,300.0,134.0,9.7,64.6,0.7771
13/03/2004,01.00.00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,2004-03-13 01:00:00,0.4175080443630058,Poor,Moderate,1,13,3,5,1,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,581.49,2.7,122.0,9.6,193.0,113.0,9.5,64.1,0.7597
13/03/2004,02.00.00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2004-03-13 02:00:00,0.34690908972885326,Moderate,Poor,2,13,3,5,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,562.32,1.9,67.0,7.4,139.0,97.0,9.1,63.9,0.7423
13/03/2004,03.00.00,1.7,1172.0,46.0,5.4,783.0,,1179.0,,1380.0,996.0,7.8,67.5,0.7173,2004-03-13 03:00:00,0.39684470581072295,Poor,Moderate,3,13,3,5,1,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,526.5,1.6,43.0,5.4,83.0,82.0,8.8,63.9,0.7256
13/03/2004,04.00.00,,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,2004-03-13 04:00:00,0.36361528789242475,Moderate,Good,4,13,3,5,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,497.69999999999993,1.7,46.0,5.4,,,7.8,67.5,0.7173
13/03/2004,05.00.00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,2004-03-13 05:00:00,0.20383485999558532,Good,Satisfactory,5,13,3,5,1,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,527.8800000000001,,56.0,6.2,109.0,83.0,7.0,71.1,0.7158
13/03/2004,06.00.00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,2004-03-13 06:00:00,0.23105074709166562,Satisfactory,Moderate,6,13,3,5,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,486.0,1.0,30.0,2.6,62.0,65.0,8.3,63.6,0.6982
13/03/2004,07.00.00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,2004-03-13 07:00:00,0.3309046913030977,Moderate,Very Poor,7,13,3,5,1,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,452.97,1.2,27.0,2.9,53.0,60.0,7.2,67.5,0.6887
13/03/2004,08.00.00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,2004-03-13 08:00:00,0.5574687098891052,Very Poor,Very Poor,8,13,3,5,1,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,465.4,1.5,47.0,5.1,139.0,77.0,6.3,71.9,0.6932
13/03/2004,09.00.00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,2004-03-13 09:00:00,0.6969800887961459,Very Poor,Very Poor,9,13,3,5,1,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,573.12,2.7,132.0,11.8,256.0,96.0,6.5,71.6,0.6945
13/03/2004,10.00.00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,2004-03-13 10:00:00,0.6400411689965015,Very Poor,Severe,10,13,3,5,1,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,634.8800000000001,3.7,239.0,15.1,295.0,119.0,9.6,59.7,0.7124
13/03/2004,11.00.00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,2004-03-13 11:00:00,0.7732740866020561,Severe,Very Poor,11,13,3,5,1,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,658.32,3.2,160.0,12.9,250.0,126.0,12.4,51.2,0.7335
13/03/2004,12.00.00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,2004-03-13 12:00:00,0.6942165867266722,Very Poor,Very Poor,12,13,3,5,1,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,621.9199999999998,4.1,283.0,16.1,296.0,158.0,15.6,42.2,0.7451
13/03/2004,13.00.00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,2004-03-13 13:00:00,0.5614697001357871,Very Poor,Poor,13,13,3,5,1,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,607.2199999999999,3.6,210.0,14.0,239.0,161.0,18.4,33.8,0.709
13/03/2004,14.00.00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,2004-03-13 14:00:00,0.4229015874808482,Poor,Poor,14,13,3,5,1,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,626.4,2.8,154.0,12.3,153.0,124.0,19.4,31.3,0.695
13/03/2004,15.00.00,2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,2004-03-13 15:00:00,0.45409283188929495,Poor,Poor,15,13,3,5,1,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,618.24,2.0,112.0,8.6,118.0,102.0,18.0,34.8,0.7127
13/03/2004,16.00.00,2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,2004-03-13 16:00:00,0.5102793346518693,Poor,Poor,16,13,3,5,1,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,617.7600000000001,2.0,108.0,9.2,119.0,116.0,18.4,33.6,0.7042
13/03/2004,17.00.00,2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,2004-03-13 17:00:00,0.5135704264656289,Poor,Very Poor,17,13,3,5,1,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,631.2599999999999,2.5,111.0,10.2,138.0,124.0,17.6,35.1,0.7012
13/03/2004,18.00.00,3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,2004-03-13 18:00:00,0.685634519906353,Very Poor,Severe,18,13,3,5,1,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,660.1,2.3,97.0,10.6,148.0,125.0,16.7,37.8,0.7117
13/03/2004,19.00.00,4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,2004-03-13 19:00:00,0.8094856305237647,Severe,Severe,19,13,3,5,1,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,669.92,3.2,191.0,15.5,227.0,148.0,16.1,41.0,0.7451
