CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,hour,day,month,weekday,is_weekend,hour_sin,hour_cos,month_sin,month_cos,temp_humidity_interaction,lag1_CO(GT),lag1_NMHC(GT),lag1_C6H6(GT),lag1_NOx(GT),lag1_NO2(GT),lag1_T,lag1_RH,lag1_AH,target_aqi_category,datetime
2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,15,11,3,3,0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,662.34,2.9,164.0,11.5,207.0,128.0,8.0,81.1,0.8736,Poor,2004-03-11 15:00:00
2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,16,11,3,3,0,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,690.64,2.2,79.0,8.8,184.0,126.0,8.3,79.8,0.8778,Very Poor,2004-03-11 16:00:00
2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,17,11,3,3,0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,662.48,2.2,95.0,8.3,193.0,131.0,9.7,71.2,0.8569,Severe,2004-03-11 17:00:00
4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,18,11,3,3,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,661.2600000000001,2.9,150.0,11.2,243.0,135.0,9.8,67.6,0.8185,Severe,2004-03-11 18:00:00
6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,19,11,3,3,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,672.2099999999999,4.8,307.0,20.8,281.0,151.0,10.3,64.2,0.8065,Severe,2004-03-11 19:00:00
6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,20,11,3,3,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,650.88,6.9,461.0,27.4,383.0,172.0,9.7,69.3,0.8319,Very Poor,2004-03-11 20:00:00
3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,21,11,3,3,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,582.4,6.1,401.0,24.0,351.0,165.0,9.6,67.8,0.8133,Satisfactory,2004-03-11 21:00:00
1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,22,11,3,3,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,519.88,3.9,197.0,12.8,240.0,136.0,9.1,64.0,0.7419,Good,2004-03-11 22:00:00
1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,23,11,3,3,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,498.55999999999995,1.5,61.0,4.7,94.0,85.0,8.2,63.4,0.6905,Moderate,2004-03-11 23:00:00
1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,0,12,3,4,0,0.0,1.0,1.0,6.123233995736766e-17,485.55000000000007,1.0,26.0,2.6,47.0,53.0,8.2,60.8,0.6657,Moderate,2004-03-12 00:00:00
1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,1,12,3,4,0,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,459.69000000000005,1.7,55.0,5.9,122.0,97.0,8.3,58.5,0.6438,Satisfactory,2004-03-12 01:00:00
1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2,12,3,4,0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,438.78,1.9,53.0,6.4,133.0,110.0,7.7,59.7,0.6308,Good,2004-03-12 02:00:00
0.8,889.0,21.0,1.9,574.0,,1680.0,,1187.0,512.0,7.0,62.3,0.6261,3,12,3,4,0,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,436.09999999999997,1.4,40.0,4.1,82.0,91.0,7.1,61.8,0.6276,Good,2004-03-12 03:00:00
,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,4,12,3,4,0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,401.99,0.8,21.0,1.9,,,7.0,62.3,0.6261,Good,2004-03-12 04:00:00
0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,5,12,3,4,0,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,409.5,,10.0,1.1,21.0,32.0,6.1,65.9,0.6248,Good,2004-03-12 05:00:00
0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,6,12,3,4,0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,427.71999999999997,0.6,7.0,1.0,30.0,44.0,6.3,65.0,0.6233,Moderate,2004-03-12 06:00:00
1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,7,12,3,4,0,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,416.64,0.8,17.0,1.8,56.0,71.0,6.8,62.9,0.6234,Severe,2004-03-12 07:00:00
4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,8,12,3,4,0,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,460.63,1.4,33.0,4.4,109.0,104.0,6.4,65.1,0.6316,Severe,2004-03-12 08:00:00
,1545.0,,22.1,1353.0,,767.0,,2058.0,1588.0,9.2,56.2,0.6561,9,12,3,4,0,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,517.04,4.4,202.0,17.9,307.0,141.0,7.3,63.1,0.6499,Very Poor,2004-03-12 09:00:00
3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,10,12,3,4,0,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,550.44,,,22.1,,,9.2,56.2,0.6561,Very Poor,2004-03-12 10:00:00
2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,11,12,3,4,0,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,549.12,3.1,208.0,14.0,187.0,122.0,13.2,41.7,0.632,Poor,2004-03-12 11:00:00
2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,12,12,3,4,0,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,547.5,2.7,166.0,11.6,216.0,143.0,14.3,38.4,0.6243,Poor,2004-03-12 12:00:00
2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,13,12,3,4,0,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,555.45,2.1,114.0,10.2,143.0,113.0,15.0,36.5,0.6195,Very Poor,2004-03-12 13:00:00
2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,14,12,3,4,0,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,581.9100000000001,2.5,140.0,11.0,160.0,116.0,16.1,34.5,0.6262,Very Poor,2004-03-12 14:00:00
2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,15,12,3,4,0,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,584.6,2.7,169.0,12.8,163.0,123.0,16.3,35.7,0.656,Very Poor,2004-03-12 15:00:00
2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,16,12,3,4,0,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,591.48,2.9,185.0,14.2,190.0,126.0,15.8,37.0,0.661,Very Poor,2004-03-12 16:00:00
2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,17,12,3,4,0,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,579.67,2.8,165.0,12.7,178.0,120.0,15.9,37.2,0.6657,Severe,2004-03-12 17:00:00
3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,18,12,3,4,0,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,597.96,2.4,133.0,11.7,150.0,119.0,16.9,34.3,0.6549,Severe,2004-03-12 18:00:00
3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,19,12,3,4,0,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,624.96,3.9,233.0,19.3,206.0,149.0,15.1,39.6,0.6766,Severe,2004-03-12 19:00:00
6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,20,12,3,4,0,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,651.45,3.7,242.0,18.2,202.0,145.0,14.4,43.4,0.7084,Severe,2004-03-12 20:00:00
4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,21,12,3,4,0,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,644.93,6.6,488.0,32.6,340.0,170.0,12.9,50.5,0.7478,Very Poor,2004-03-12 21:00:00
3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,22,12,3,4,0,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,650.1,4.4,333.0,20.1,274.0,149.0,12.1,53.3,0.7536,Severe,2004-03-12 22:00:00
5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,23,12,3,4,0,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,626.6199999999999,3.5,215.0,14.3,253.0,139.0,11.0,59.1,0.774,Very Poor,2004-03-12 23:00:00
2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0,13,3,5,1,0.0,1.0,1.0,6.123233995736766e-17,608.9499999999999,5.4,367.0,21.8,300.0,134.0,9.7,64.6,0.7771,Poor,2004-03-13 00:00:00
1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,1,13,3,5,1,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,581.49,2.7,122.0,9.6,193.0,113.0,9.5,64.1,0.7597,Moderate,2004-03-13 01:00:00
1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,2,13,3,5,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,562.32,1.9,67.0,7.4,139.0,97.0,9.1,63.9,0.7423,Poor,2004-03-13 02:00:00
1.7,1172.0,46.0,5.4,783.0,,1179.0,,1380.0,996.0,7.8,67.5,0.7173,3,13,3,5,1,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,526.5,1.6,43.0,5.4,83.0,82.0,8.8,63.9,0.7256,Moderate,2004-03-13 03:00:00
,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,4,13,3,5,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,497.69999999999993,1.7,46.0,5.4,,,7.8,67.5,0.7173,Good,2004-03-13 04:00:00
1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,5,13,3,5,1,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,527.8800000000001,,56.0,6.2,109.0,83.0,7.0,71.1,0.7158,Satisfactory,2004-03-13 05:00:00
1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,6,13,3,5,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,486.0,1.0,30.0,2.6,62.0,65.0,8.3,63.6,0.6982,Moderate,2004-03-13 06:00:00
1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,7,13,3,5,1,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,452.97,1.2,27.0,2.9,53.0,60.0,7.2,67.5,0.6887,Very Poor,2004-03-13 07:00:00
2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,8,13,3,5,1,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,465.4,1.5,47.0,5.1,139.0,77.0,6.3,71.9,0.6932,Very Poor,2004-03-13 08:00:00
3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,9,13,3,5,1,0.7071067811865476,-0.7071067811865475,1.0,6.123233995736766e-17,573.12,2.7,132.0,11.8,256.0,96.0,6.5,71.6,0.6945,Very Poor,2004-03-13 09:00:00
3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,10,13,3,5,1,0.49999999999999994,-0.8660254037844387,1.0,6.123233995736766e-17,634.8800000000001,3.7,239.0,15.1,295.0,119.0,9.6,59.7,0.7124,Severe,2004-03-13 10:00:00
4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,11,13,3,5,1,0.258819045102521,-0.9659258262890682,1.0,6.123233995736766e-17,658.32,3.2,160.0,12.9,250.0,126.0,12.4,51.2,0.7335,Very Poor,2004-03-13 11:00:00
3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,12,13,3,5,1,1.2246467991473532e-16,-1.0,1.0,6.123233995736766e-17,621.9199999999998,4.1,283.0,16.1,296.0,158.0,15.6,42.2,0.7451,Very Poor,2004-03-13 12:00:00
2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,13,13,3,5,1,-0.2588190451025208,-0.9659258262890683,1.0,6.123233995736766e-17,607.2199999999999,3.6,210.0,14.0,239.0,161.0,18.4,33.8,0.709,Poor,2004-03-13 13:00:00
2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,14,13,3,5,1,-0.4999999999999997,-0.8660254037844388,1.0,6.123233995736766e-17,626.4,2.8,154.0,12.3,153.0,124.0,19.4,31.3,0.695,Poor,2004-03-13 14:00:00
2.0,1240.0,108.0,9.2,947.0,119.0,1049.0,116.0,1532.0,947.0,18.4,33.6,0.7042,15,13,3,5,1,-0.7071067811865471,-0.7071067811865479,1.0,6.123233995736766e-17,618.24,2.0,112.0,8.6,118.0,102.0,18.0,34.8,0.7127,Poor,2004-03-13 15:00:00
2.5,1306.0,111.0,10.2,987.0,138.0,1004.0,124.0,1554.0,1078.0,17.6,35.1,0.7012,16,13,3,5,1,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17,617.7600000000001,2.0,108.0,9.2,119.0,116.0,18.4,33.6,0.7042,Poor,2004-03-13 16:00:00
2.3,1326.0,97.0,10.6,1000.0,148.0,976.0,125.0,1602.0,1084.0,16.7,37.8,0.7117,17,13,3,5,1,-0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,631.2599999999999,2.5,111.0,10.2,138.0,124.0,17.6,35.1,0.7012,Very Poor,2004-03-13 17:00:00
3.2,1473.0,191.0,15.5,1163.0,227.0,831.0,148.0,1779.0,1395.0,16.1,41.0,0.7451,18,13,3,5,1,-1.0,-1.8369701987210297e-16,1.0,6.123233995736766e-17,660.1,2.3,97.0,10.6,148.0,125.0,16.7,37.8,0.7117,Severe,2004-03-13 18:00:00
4.2,1609.0,258.0,19.6,1286.0,277.0,758.0,165.0,1922.0,1612.0,15.8,42.4,0.7569,19,13,3,5,1,-0.9659258262890684,0.2588190451025203,1.0,6.123233995736766e-17,669.92,3.2,191.0,15.5,227.0,148.0,16.1,41.0,0.7451,Severe,2004-03-13 19:00:00
4.2,1611.0,284.0,19.2,1274.0,279.0,754.0,161.0,1915.0,1697.0,15.7,44.1,0.7786,20,13,3,5,1,-0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,692.37,4.2,258.0,19.6,277.0,165.0,15.8,42.4,0.7569,Severe,2004-03-13 20:00:00
4.2,1621.0,269.0,18.3,1247.0,283.0,762.0,159.0,1860.0,1886.0,15.3,46.8,0.8091,21,13,3,5,1,-0.7071067811865477,0.7071067811865474,1.0,6.123233995736766e-17,716.04,4.2,284.0,19.2,279.0,161.0,15.7,44.1,0.7786,Very Poor,2004-03-13 21:00:00
3.1,1444.0,180.0,13.1,1089.0,214.0,844.0,143.0,1748.0,1624.0,14.6,48.6,0.806,22,13,3,5,1,-0.5000000000000004,0.8660254037844384,1.0,6.123233995736766e-17,709.5600000000001,4.2,269.0,18.3,283.0,159.0,15.3,46.8,0.8091,Very Poor,2004-03-13 22:00:00
2.6,1418.0,116.0,10.9,1010.0,172.0,892.0,130.0,1603.0,1536.0,14.7,49.3,0.8193,23,13,3,5,1,-0.25881904510252157,0.9659258262890681,1.0,6.123233995736766e-17,724.7099999999999,3.1,180.0,13.1,214.0,143.0,14.6,48.6,0.806,Very Poor,2004-03-13 23:00:00
2.9,1534.0,93.0,11.0,1013.0,190.0,889.0,129.0,1611.0,1535.0,13.9,53.6,0.8498,0,14,3,6,1,0.0,1.0,1.0,6.123233995736766e-17,745.0400000000001,2.6,116.0,10.9,172.0,130.0,14.7,49.3,0.8193,Very Poor,2004-03-14 00:00:00
2.8,1484.0,131.0,11.9,1045.0,174.0,880.0,119.0,1624.0,1530.0,14.6,51.5,0.8536,1,14,3,6,1,0.25881904510252074,0.9659258262890683,1.0,6.123233995736766e-17,751.9,2.9,93.0,11.0,190.0,129.0,13.9,53.6,0.8498,Poor,2004-03-14 01:00:00
2.5,1367.0,92.0,8.6,925.0,128.0,953.0,104.0,1543.0,1337.0,12.5,58.9,0.8537,2,14,3,6,1,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,736.25,2.8,131.0,11.9,174.0,119.0,14.6,51.5,0.8536,Very Poor,2004-03-14 02:00:00
2.4,1344.0,132.0,9.7,968.0,,921.0,,1620.0,1278.0,11.6,63.4,0.8674,3,14,3,6,1,0.7071067811865476,0.7071067811865476,1.0,6.123233995736766e-17,735.4399999999999,2.5,92.0,8.6,128.0,104.0,12.5,58.9,0.8537,Moderate,2004-03-14 03:00:00
,1130.0,56.0,5.2,773.0,70.0,1130.0,82.0,1452.0,1051.0,12.1,61.1,0.8603,4,14,3,6,1,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,739.31,2.4,132.0,9.7,,,11.6,63.4,0.8674,Satisfactory,2004-03-14 04:00:00
1.2,1062.0,32.0,3.7,691.0,53.0,1272.0,70.0,1377.0,929.0,11.5,63.1,0.8533,5,14,3,6,1,0.9659258262890683,0.25881904510252074,1.0,6.123233995736766e-17,725.65,,56.0,5.2,70.0,82.0,12.1,61.1,0.8603,Satisfactory,2004-03-14 05:00:00
1.0,1076.0,29.0,2.5,618.0,44.0,1395.0,63.0,1333.0,872.0,11.6,62.2,0.8473,6,14,3,6,1,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,721.52,1.2,32.0,3.7,53.0,70.0,11.5,63.1,0.8533,Satisfactory,2004-03-14 06:00:00
0.9,1028.0,27.0,2.4,615.0,74.0,1384.0,67.0,1340.0,853.0,10.4,67.6,0.853,7,14,3,6,1,0.9659258262890683,-0.25881904510252063,1.0,6.123233995736766e-17,703.04,1.0,29.0,2.5,44.0,63.0,11.6,62.2,0.8473,Moderate,2004-03-14 07:00:00
1.4,1155.0,36.0,4.2,722.0,101.0,1225.0,84.0,1414.0,959.0,11.6,62.7,0.853,8,14,3,6,1,0.8660254037844387,-0.4999999999999998,1.0,6.123233995736766e-17,727.32,0.9,27.0,2.4,74.0,67.0,10.4,67.6,0.853,Moderate,2004-03-14 08:00:00
